Title,Price,Rating,Reviews,Availability
boAt Bassheads 100 in Ear Wired Earphones with Mic(Black),299.,4.1 out of 5 stars,"414,970 ratings",In stock
"Acer Nitro VG270 M3 27 Inch Full HD Monitor with LED Backlight IPS Gaming I 0.5 Ms Response I 180Hz Refresh Rate I SRGB 99%, HDR 10 I 2xHDMI, 1xDP I Stereo Speakers I AMD Radeon Free Sync (Black)","11,390.",4.1 out of 5 stars,"3,870 ratings",In stock
